case	preflight	bound	reported declarations
env-list-record	ACCEPT	Schema[enabled=null, requestTimeout=null, primary=null, connections=[Connection[name=alpha, requestTimeout=PT30S]], tags=null, labels=null]	[Override[key=collector.connections[0].name, source=environment], Override[key=collector.connections[0].request-timeout, source=environment]]
env-list-record-compact	UNKNOWN:[collector.connections[0].requesttimeout]	Schema[enabled=null, requestTimeout=null, primary=null, connections=[Connection[name=alpha, requestTimeout=PT30S]], tags=null, labels=null]	[Override[key=collector.connections[0].name, source=environment]]
env-map	ACCEPT	Schema[enabled=null, requestTimeout=null, primary=null, connections=null, tags=null, labels={region=east}]	[Override[key=collector.labels.region, source=environment]]
env-custom-source-name	UNKNOWN:[collector.requesttimeout]	UNBOUND	[]
env-suffixed-source-name	UNKNOWN:[collector.requesttimeout]	Schema[enabled=null, requestTimeout=PT30S, primary=null, connections=null, tags=null, labels=null]	[]
duplicate-spellings	UNKNOWN:[collector.requesttimeout]	Schema[enabled=null, requestTimeout=PT10S, primary=null, connections=null, tags=null, labels=null]	[Override[key=collector.request-timeout, source=input], Override[key=collector.requesttimeout, source=input]]
env-bare-root	ACCEPT	FAIL:ConverterNotFoundException	[]
other-prefix	ACCEPT	UNBOUND	[]
cli-canonical	ACCEPT	Schema[enabled=null, requestTimeout=PT30S, primary=null, connections=null, tags=null, labels=null]	[Override[key=collector.request-timeout, source=command line]]
yaml	ACCEPT	Schema[enabled=true, requestTimeout=null, primary=null, connections=[Connection[name=alpha, requestTimeout=PT30S]], tags=null, labels=null]	[Override[key=collector.enabled, source=yaml], Override[key=collector.connections[0].name, source=yaml], Override[key=collector.connections[0].request-timeout, source=yaml]]
list-partial-overlay	ACCEPT	Schema[enabled=null, requestTimeout=null, primary=null, connections=[Connection[name=new, requestTimeout=null]], tags=null, labels=null]	[Override[key=collector.connections[0].name, source=command line], Override[key=collector.connections[0].request-timeout, source=external file], Override[key=collector.connections[1].name, source=external file]]
list-whole-overlay	ACCEPT	Schema[enabled=null, requestTimeout=null, primary=null, connections=null, tags=[new], labels=null]	[Override[key=collector.tags, source=command line], Override[key=collector.tags[0], source=external file], Override[key=collector.tags[1], source=external file]]
high-baseline	ACCEPT	Schema[enabled=true, requestTimeout=null, primary=null, connections=null, tags=null, labels=null]	[Override[key=collector.enabled, source=external file]]
null-high	ACCEPT	Schema[enabled=true, requestTimeout=null, primary=null, connections=null, tags=null, labels=null]	[Override[key=collector.enabled, source=command line]]
shadowed-unknown	UNKNOWN:[collector.unknown]	Schema[enabled=true, requestTimeout=null, primary=null, connections=null, tags=null, labels=null]	[Override[key=collector.enabled, source=command line], Override[key=collector.unknown, source=external file]]
opaque-source	ACCEPT	Schema[enabled=true, requestTimeout=null, primary=null, connections=null, tags=null, labels=null]	[Override[key=collector.enabled, source=external file]]
enumerable-composite	UNKNOWN:[collector.unknown]	Schema[enabled=true, requestTimeout=null, primary=null, connections=null, tags=null, labels=null]	[Override[key=collector.enabled, source=composite], Override[key=collector.unknown, source=composite]]
opaque-composite	FAIL:IllegalStateException	FAIL:IllegalStateException	FAIL:IllegalStateException
source-name-secret	ACCEPT	Schema[enabled=true, requestTimeout=null, primary=null, connections=null, tags=null, labels=null]	[Override[key=collector.enabled, source=synthetic-secret-label]]
alias	UNKNOWN:[collector.remote-name]	Alias[displayName=alpha]	[Override[key=collector.remote-name, source=input]]
alias-java-name	ACCEPT	UNBOUND	[Override[key=collector.display-name, source=input]]
nested-map	UNKNOWN:[collector.targets.alpha.name]	NestedMap[targets={alpha=Connection[name=alpha, requestTimeout=null]}]	[Override[key=collector.targets.alpha.name, source=input]]
bean-child	UNKNOWN:[collector.child.name]	BeanRoot[child=MutableChild[name=alpha]]	[Override[key=collector.child.name, source=input]]
indexed-set	UNKNOWN:[collector.tags[0]]	Collections[tags=[a], names=null]	[Override[key=collector.tags[0], source=input]]
indexed-array	UNKNOWN:[collector.names[0]]	Collections[tags=null, names=[a]]	[Override[key=collector.names[0], source=input]]
acronym	UNKNOWN:[collector.url-value]	Acronym[URLValue=alpha]	[Override[key=collector.url-value, source=input]]
enum-map	ACCEPT	EnumMap[labels={EAST=alpha}]	[Override[key=collector.labels.east, source=input]]
enum-map-invalid-key	ACCEPT	FAIL:IllegalArgumentException	[Override[key=collector.labels.invalid, source=input]]
converted-record	ACCEPT	Converted[token=Token[value=alpha]]	[Override[key=collector.token, source=input]]
converted-record-env	UNKNOWN:[collector.token]	Converted[token=Token[value=alpha]]	[]
env-ambiguity	AMBIGUOUS	Ambiguous[fooBar=alpha, foo=Foo[bar=alpha]]	[]
env-ambiguity-with-unknown	AMBIGUOUS	Ambiguous[fooBar=alpha, foo=Foo[bar=alpha]]	[]
no-value-reads	UNKNOWN:[collector.unknown]	NOT_RUN	[Override[key=collector.enabled, source=names-only], Override[key=collector.unknown, source=names-only]]
mutable-match-result	known-after-clear=false	NOT_RUN	NOT_RUN
